,Ingredient,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR,Clue
2419,crosta di parmigiano,2,2,0,0,crosta di parmigiano
3929,crosta di parmigiano reggiano,1,1,0,0,crosta di parmigiano reggiano
2322,crostacei,2,1,1,0,crostacei
1635,crostini,2,2,0,0,crostini
4594,crostini di pane,1,0,1,0,crostini di pane
392,crostini integrali,1,1,0,0,crostini integrali
3933,crostini pane,1,1,0,0,crostini pane
2221,crostoni di pane,4,4,0,0,crostoni di pane
3795,crudo,1,1,0,0,crudo
3535,crunchy di riso al pepe,1,1,0,0,crunchy di riso al pepe
2301,crusca,2,2,0,0,crusca
515,crème cassis,2,2,0,0,crème fraîche
1715,crème fraîche,4,4,0,0,crème fraîche
71,crêpe,7,7,0,0,crêpe
3752,crêpes,1,1,0,0,crêpe
2169,cubo di lievito,2,2,0,0,cubo di lievito
4898,cucciai di pecorino,1,0,0,1,cucciai di pecorino
2827,cucunci,1,1,0,0,cucunci
4060,culaccia,2,2,0,0,culaccia
1361,culatello,8,2,6,0,culatello
562,cumino,79,31,41,7,cumino
3576,cuore,2,2,0,0,cuore
4811,cuore di sedano,1,0,0,1,cuore di sedano
4724,cuori di carciofo,1,0,1,0,cuori di carciofo
2329,curaçao,3,3,0,0,curaçao
432,curcuma,76,39,37,0,curcuma
2292,curcuma fresca,3,1,2,0,curcuma
885,curry,76,56,20,0,curry
1542,curry dolce,2,2,0,0,curry
3322,curry giallo,1,1,0,0,curry
1531,curry masala,3,3,0,0,curry
4550,curry thai rosso,1,0,1,0,curry
4315,curry thai verde,2,0,2,0,curry
206,curry verde thailandese,1,1,0,0,curry
2339,cuscus,1,1,0,0,cuscus
4828,d'acqua,8,0,0,8,d'acqua
4663,dadi,2,0,1,1,dadi
1537,dado,11,3,0,8,dado
3598,dado di carne,1,1,0,0,dado
3609,dado vegetale,3,3,0,0,dado vegetale
1494,daikon,7,4,3,0,daikon
846,dashi,2,1,1,0,dashi
1168,datteri,25,17,8,0,datteri
3826,datteri deglet nour,2,2,0,0,datteri
1677,datteri denocciolati,3,3,0,0,datteri
2840,datteri di canna,1,1,0,0,datteri
2493,datteri secchi,1,1,0,0,datteri
3709,datteri snocciolati,1,1,0,0,datteri
2591,datterini,4,4,0,0,datterini
3819,datterini conservati,1,1,0,0,datterini
2923,datterino,2,2,0,0,datterini
4259,decorazione alimentare,16,0,16,0,decorazione alimentare
2554,decorazioni di zucchero,1,1,0,0,decorazioni di zucchero
3040,del lattuga cappuccio,1,1,0,0,del lattuga cappuccio
3481,dente di lupo,1,1,0,0,dente di lupo
1497,dentice,6,6,0,0,dentice
2818,dentici sfilettati,1,1,0,0,dentici sfilettati
2455,destrosio,1,1,0,0,destrosio
4764,di agnello,7,0,0,7,dischetti di pasta
4813,di brodo,1,0,0,1,dischetti di pasta
3839,diburro,1,1,0,0,diburro
4286,dischetti di pasta,17,0,17,0,dischetti di pasta
4661,distillato,1,0,1,0,distillato
2146,distillato di pere,1,1,0,0,distillato di pere
3722,ditali,2,2,0,0,ditalini
2560,ditalini,8,5,3,0,ditalini
2369,ditalini di farro,1,1,0,0,ditalini
3470,ditalini monograno,1,1,0,0,ditalini
2753,ditaloni rigati,10,1,9,0,ditaloni rigati
4690,dolcetto,1,0,1,0,dolcetto
1131,dragoncello,30,27,3,0,dragoncello
3910,dragé,1,1,0,0,dragoncello
2319,dulce de leche,2,2,0,0,dulce de leche
2900,durelli di pollo,1,1,0,0,durelli di pollo
4021,dʼarancia esiccata,1,1,0,0,dʼarancia esiccata
1224,earl grey,1,1,0,0,earl grey
1474,edamame,2,2,0,0,edamame
4274,edamer,34,0,34,0,edamer
3123,edi keber,1,1,0,0,edi keber
1748,eliche,1,1,0,0,eliche
1167,emmental,24,24,0,0,emmental
1790,emmentaler,41,6,35,0,emmentaler
1852,emmenthal,9,3,0,6,emmenthal
4453,entrecote,1,0,1,0,entrecote
1969,entrecote di manzo,1,1,0,0,entrecote di manzo
3869,erba aromatica,1,1,0,0,erba cipollina
2970,erba aromatiche,1,1,0,0,erba cipollina
1914,erba cedrina,1,1,0,0,erba cipollina
165,erba cipollina,357,165,191,1,erba cipollina
1159,erba cipollina fresca,6,6,0,0,erba cipollina fresca
2260,erba cipollina secca,1,1,0,0,erba cipollina
3886,erba cipollina tagliuzzata,1,1,0,0,erba cipollina
2034,erba cipollina tonno sott'olio,1,1,0,0,erba cipollina
1939,erba limoncella,1,1,0,0,erba cipollina
484,erba limoncina,2,2,0,0,erba cipollina
4089,erba pepe,1,1,0,0,pepe
1757,erbe,6,6,0,0,erbe
371,erbe aromatiche,37,35,2,0,erbe aromatiche
384,erbe aromatiche miste,8,8,0,0,erbe aromatiche miste
4140,erbe aromatiche secche,1,1,0,0,erbe
884,erbe cipollina,1,1,0,0,erbe
1091,erbe di provenza,1,1,0,0,erbe
800,erbe miste,2,2,0,0,erbe
3610,erbe odorose,3,3,0,0,erbe
2701,erbe profumate miste,1,1,0,0,erbe
480,erbette,30,12,12,6,erbette
1920,essenza di gelsomino,1,1,0,0,essenza di senape
4787,essenza di limone,1,0,0,1,essenza di senape
4545,essenza di mandorla,2,0,2,0,essenza di senape
3024,essenza di mandorla amara,1,1,0,0,essenza di senape
3376,essenza di menta,1,1,0,0,essenza di senape
1507,essenza di rose,1,1,0,0,essenza di senape
1948,essenza di senape,3,2,1,0,essenza di vaniglia
1904,essenza di vaniglia,15,8,5,2,essenza di vaniglia
4342,estratto di mandorla,5,0,5,0,estratto di vaniglia
3508,estratto di mandorle,2,2,0,0,estratto di mandorla
234,estratto di vaniglia,82,37,45,0,estratto di vaniglia
2864,estratto di vaniglia naturale,1,1,0,0,estratto di mandorla
1660,estratto mandorla amara,1,1,0,0,estratto di mandorla
1144,estratto naturale di menta,1,1,0,0,estratto di mandorla
3068,estratto naturale di vaniglia,2,2,0,0,estratto di mandorla
847,estrazione di carota gialla,1,1,0,0,estrazione di carota gialla
848,estrazione di zenzero,1,1,0,0,estrazione di zenzero
4808,extravergine di oliva,1,0,0,1,extravergine di oliva
3788,fagianella,1,1,0,0,fagianella
2426,fagiano,9,9,0,0,fagiano
685,fagioli,38,12,2,24,fagioli
2691,fagioli bianchi,4,3,0,1,fagioli
2919,fagioli bianchi cotti,1,1,0,0,fagioli
4207,fagioli bianchi di spagna,1,1,0,0,fagioli
4665,fagioli bianchi precotti,3,0,3,0,fagioli
1314,fagioli bianchi secchi,3,1,2,0,fagioli
438,fagioli borlotti,30,16,7,7,fagioli borlotti
4283,fagioli borlotti precotti,4,0,4,0,fagioli
4292,fagioli borlotti secchi,8,0,7,1,fagioli borlotti secchi
3801,fagioli borlotti sgranati,1,1,0,0,fagioli
39,fagioli cannellini,21,18,1,2,fagioli cannellini
3544,fagioli cannellini cotti,1,1,0,0,fagioli
4066,fagioli cannellini precotti,15,1,14,0,fagioli cannellini precotti
534,fagioli cannellini secchi,12,2,9,1,fagioli cannellini secchi
2652,fagioli dall'occhio secchi,4,1,3,0,fagioli
2418,fagioli dell'occhio,1,1,0,0,fagioli
3415,fagioli di saluggia sgranati,1,1,0,0,fagioli
3699,fagioli di soia,1,1,0,0,fagioli
4202,fagioli di soia secchi,1,1,0,0,fagioli
4619,fagioli di spagna,1,0,1,0,fagioli
2182,fagioli di ustica,1,1,0,0,fagioli
1234,fagioli misti secchi,1,1,0,0,fagioli
901,fagioli neri,1,1,0,0,fagioli
2406,fagioli neri crudi,1,1,0,0,fagioli
4462,fagioli neri precotti,5,0,5,0,fagioli
714,fagioli neri secchi,3,1,2,0,fagioli
4180,fagioli olio,1,1,0,0,olio extravergine d'oliva
2692,fagioli rossi,2,2,0,0,fagioli
4409,fagioli rossi precotti,4,0,4,0,fagioli
3472,fagioli rossi secchi,2,1,1,0,fagioli
969,fagioli scritti,1,1,0,0,fagioli
716,fagioli secchi,9,9,0,0,fagioli secchi
3601,fagioli secchi cannellini,1,1,0,0,fagioli
1328,fagioli sgranati,3,3,0,0,fagioli
1834,fagioli tondi bianchi,1,1,0,0,fagioli
3727,fagioli toscani,1,1,0,0,fagioli
3392,fagioli zolfini,1,1,0,0,fagioli
181,fagiolini,134,73,55,6,fagiolini
1933,fagiolini a corallo,1,1,0,0,fagiolini
4413,fagiolini piattoni,6,0,6,0,fagiolini piattoni
1599,fagiolini verdi,12,12,0,0,fagiolini verdi
1880,falanghina,1,1,0,0,falanghina
1416,faraona,16,8,3,5,faraona
108,farfalle,28,11,16,1,farfalle
4414,farfalle integrali,3,0,3,0,farfalle
2729,farfalline,2,2,0,0,farfalline
4524,farfalline all'uovo,1,0,1,0,farfalline all'uovo
1806,farfalloni,1,1,0,0,farfalloni
4868,farima,1,0,0,1,farima
30,farina,1939,1676,30,233,farina
176,farina 0,156,83,71,2,farina 0
940,farina 0 di grano,1,1,0,0,farina
4223,farina 0 grano duro,1,1,0,0,farina
3099,farina 0 manitoba,1,1,0,0,farina
2316,farina 0 semintegrale,1,1,0,0,farina
85,farina 00,1733,69,1664,0,farina 00
541,farina 00 di grano,4,4,0,0,farina
4038,farina 00 setacciata,1,1,0,0,farina
2416,farina 1,8,1,7,0,farina 1
401,farina 2,6,1,5,0,farina 2
1107,farina auto lievitante,1,1,0,0,farina
2172,farina autolievitante,2,2,0,0,farina
338,farina bianca,64,49,0,15,farina bianca
2471,farina bianca macinata,1,1,0,0,farina
1613,farina bianca tipo 0,3,1,0,2,farina
4128,farina biancolilla,1,1,0,0,farina
4146,farina bramata gialla,1,1,0,0,farina
400,farina d'orzo,4,3,0,1,farina
2088,farina di amaranto,3,2,1,0,farina
2121,farina di avena,2,1,1,0,farina
2350,farina di canapa,1,1,0,0,farina
2502,farina di carruba,1,1,0,0,farina
2884,farina di carrubbe,1,1,0,0,farina
2110,farina di carrube,4,4,0,0,farina
856,farina di castagne,38,24,9,5,farina di castagne
622,farina di ceci,26,14,9,3,farina di ceci
751,farina di ceci integrale,1,1,0,0,farina
653,farina di cocco,20,14,6,0,farina di cocco
4709,farina di enkir,1,0,1,0,farina
755,farina di farro,23,10,13,0,farina di farro
2353,farina di farro bianca,1,1,0,0,farina
425,farina di farro integrale,11,3,8,0,farina di farro integrale
3627,farina di frumento,1,1,0,0,farina
3940,farina di frumento 0,1,1,0,0,farina
971,farina di grano,16,14,0,2,farina di grano
1088,farina di grano 0,1,1,0,0,farina
2443,farina di grano antico,1,1,0,0,farina
4528,farina di grano arso,4,0,4,0,farina
1598,farina di grano duro,25,11,8,6,farina di grano duro
2011,farina di grano macinata,1,1,0,0,farina
734,farina di grano saraceno,59,32,25,2,farina di grano saraceno
3200,farina di grano semintegrale,1,1,0,0,farina
2144,farina di grano senatore cappelli,1,1,0,0,farina
2442,farina di grano tipo 1,1,1,0,0,farina
3777,farina di granoturco,2,1,0,1,farina
1412,farina di granturco,3,1,0,2,farina
1190,farina di kamut,7,7,0,0,farina di kamut
2469,farina di kamut khorasan,1,1,0,0,farina
4335,farina di kamut®,3,0,3,0,farina
4266,farina di lupini,3,0,3,0,farina
2079,farina di lupino,1,1,0,0,farina
4882,farina di maiorca,1,0,0,1,farina
243,farina di mais,80,46,21,13,farina di mais
4676,farina di mais bianco,3,0,3,0,farina
4345,farina di mais bramata,6,0,6,0,farina di mais bramata
4505,farina di mais bramata bianca,1,0,1,0,farina
3906,farina di mais bruciato,1,1,0,0,farina
4741,farina di mais e cereali,1,0,1,0,farina
4262,farina di mais fioretto,31,0,31,0,farina di mais fioretto
4660,farina di mais fumetto,2,0,2,0,farina
2685,farina di mais gialla,1,1,0,0,farina
4477,farina di mais giallo,3,0,3,0,farina
4605,farina di mais integrale,2,0,2,0,farina
1231,farina di mais macinata,1,1,0,0,farina
612,farina di mais tipo fioretto,1,1,0,0,farina
326,farina di mandorle,175,71,104,0,farina di mandorle
1174,farina di manitoba,2,2,0,0,farina
447,farina di miglio,3,3,0,0,farina
2587,farina di nocciola,1,1,0,0,farina
34,farina di nocciole,52,10,42,0,farina di nocciole
4300,farina di pistacchi,7,0,7,0,farina di pistacchi
2710,farina di pistacchio,1,1,0,0,farina
2619,farina di quinoa,4,2,2,0,farina
2828,farina di rimacinato,2,2,0,0,farina
3682,farina di rimacinato di grano duro pugliese,1,1,0,0,farina
149,farina di riso,95,40,55,0,farina di riso
3160,farina di riso impalpabile,1,1,0,0,farina
1072,farina di riso integrale,6,4,2,0,farina di riso integrale
4574,farina di riso venere,1,0,1,0,farina
220,farina di segale,11,7,3,1,farina di segale
4260,farina di semi di carrube,5,0,5,0,farina
2102,farina di semi di lino,2,2,0,0,farina
2315,farina di semola,6,6,0,0,farina di semola
84,farina di semola di grano duro,12,12,0,0,farina di semola di grano duro
3725,farina di semolino,1,1,0,0,farina
682,farina di soia,1,1,0,0,farina
1345,farina di tapioca,4,3,1,0,farina
2078,farina di teff,4,2,2,0,farina
3619,farina di tipo 2,2,2,0,0,farina
3949,farina fine di granoturco,1,1,0,0,farina
626,farina fine di mais,1,1,0,0,farina
2798,farina fioretto,1,1,0,0,farina
1051,farina fioretto di mais,4,4,0,0,farina
1368,farina forte,2,2,0,0,farina
1611,farina forte tipo manitoba,2,2,0,0,farina
1951,farina fumetto di mais,1,1,0,0,farina
339,farina gialla,56,50,0,6,farina gialla
2742,farina gialla bramata,4,4,0,0,farina
2746,farina gialla di mais,3,3,0,0,farina
1227,farina gialla fine tipo fioretto,1,1,0,0,farina
4114,farina gialla macinata,1,1,0,0,farina
2847,farina gialla tipo fioretto,3,3,0,0,farina
3724,farina grano,1,1,0,0,farina
3128,farina grano duro,3,3,0,0,farina
32,farina integrale,96,43,52,1,farina integrale
1739,farina integrale d'orzo,1,1,0,0,farina
1211,farina integrale di farro,5,5,0,0,farina
2566,farina integrale di frumento,1,1,0,0,farina
360,farina integrale di grano,2,2,0,0,farina
4245,farina integrale di miglio,1,0,1,0,farina
2773,farina integrale di segale,1,1,0,0,farina
891,farina integrale macinata,1,1,0,0,farina
4313,farina istantanea,9,0,9,0,farina istantanea
2321,farina macinata,5,5,0,0,farina
3893,farina mais,1,1,0,0,farina
3531,farina mandorle,1,1,0,0,farina
175,farina manitoba,214,57,152,5,farina manitoba
4031,farina nera,1,1,0,0,farina
4889,farina nera di grano saraceno,1,0,0,1,farina
2438,farina ricca,4,4,0,0,farina
2751,farina rimacinata,2,2,0,0,farina
2071,farina rustica,1,1,0,0,farina
1596,farina semintegrale,1,1,0,0,farina
2887,farina semintegrale tipo 1,1,1,0,0,farina
2853,farina semintegrale tipo 2,1,1,0,0,farina
4129,farina senatore cappelli,1,1,0,0,farina
2613,farina setacciata,7,7,0,0,farina setacciata
729,farina tipo 0,18,11,0,7,farina tipo 0
4823,farina tipo 00,1,0,0,1,farina
219,farina tipo 1,4,4,0,0,farina
2326,farina tipo 2,9,9,0,0,farina tipo 2
2087,farina tipo manitoba,2,2,0,0,farina
3049,farina tumminia,1,1,0,0,farina
2601,farine,2,2,0,0,farina
794,farro,27,17,4,6,farro
2271,farro decorticato,1,1,0,0,farro
2111,farro essiccato,1,1,0,0,farro
970,farro garfagnino,1,1,0,0,farro
1326,farro perlato,11,4,7,0,farro perlato
8,farro soffiato,1,1,0,0,farro
2626,fasolari,11,3,8,0,fasolari
866,fava tonka,2,2,0,0,fava tonka
433,fave,89,40,42,7,fave
2283,fave di cacao,9,9,0,0,fave di cacao
3825,fave di cacao criollo,1,1,0,0,fave
298,fave secche,9,5,3,1,fave secche
656,fave sgranate,11,11,0,0,fave sgranate
4593,fave surgelate,1,0,1,0,fave
599,fecola,36,36,0,0,fecola
319,fecola di patate,196,65,126,5,fecola di patate
1382,fecola maranta,1,1,0,0,fecola
3828,fegatelli di maiale,1,1,0,0,fegatelli di maiale
4007,fegatelli di pollo,1,1,0,0,fegatelli di pollo
3136,fegati di coniglio,2,2,0,0,fegatini di pollo
4100,fegatini dei volatili,1,1,0,0,fegatini di pollo
4025,fegatini di faraona,1,1,0,0,fegatini di pollo
768,fegatini di pollo,31,16,2,13,fegatini di pollo
3296,fegatini misti,1,1,0,0,fegatini di pollo
3081,fegato,4,4,0,0,fegatini di pollo
2590,fegato d',2,2,0,0,fegato
2909,fegato d'anatra,1,1,0,0,fegato
4829,fegato del coniglio,1,0,0,1,fegato
2412,fegato di coniglio,5,5,0,0,fegato di coniglio
3403,fegato di maiale,10,6,0,4,fegato di maiale
3717,fegato di vitello,10,3,3,4,fegato di vitello
3644,fegato gallina padovana,1,1,0,0,fegato
2241,fegato grasso d',3,3,0,0,fegato
1743,fernet,1,1,0,0,fernet
2192,ferrero rocher,1,1,0,0,ferrero rocher
247,fesa di tacchino,18,15,2,1,fesa di tacchino
1437,fesa di tacchino aperta,1,1,0,0,fesa di tacchino
475,fesa di vitello,23,14,7,2,fesa di vitello
4026,fesa sottile,1,1,0,0,fesa di tacchino
594,feta,60,22,38,0,feta
948,feta greca,3,3,0,0,feta
1283,fettine,2,2,0,0,fettine di vitello
4247,fettine di manzo,10,0,10,0,fettine di manzo
4305,fettine di vitello,12,0,12,0,fettine di vitello
2008,fettuccine,5,2,0,3,fettuccine all'uovo
4433,fettuccine 5 cereali e uova,4,0,4,0,fettuccine 5 cereali e uova
2014,fettuccine all'uovo,14,8,6,0,fettuccine all'uovo
2946,fibra da estrattore,1,1,0,0,fibra da estrattore
211,fichi,59,26,33,0,fichi
2401,fichi bianchi,4,4,0,0,fichi
2548,fichi caramellati,2,2,0,0,fichi
1311,fichi d',2,2,0,0,fichi
2265,fichi neri,8,8,0,0,fichi neri
853,fichi secchi,41,22,11,8,fichi secchi
419,fichi verdi,4,4,0,0,fichi
4344,fichi viola,2,0,2,0,fichi
3005,fico,1,1,0,0,fico
1582,fidelini,1,1,0,0,fidelini
3230,fieno greco,1,1,0,0,fieno greco
3977,fileja,1,1,0,0,fileja
4047,filetti,1,1,0,0,filetti di acciuga
907,filetti acciughe,5,3,0,2,filetti di acciuga
4816,filetti acciughe salate,1,0,0,1,filetti acciughe
4755,filetti d'acciuga,1,0,0,1,filetti acciughe
2830,filetti d'acciughe dissalate,1,1,0,0,filetti acciughe
160,filetti di acciuga,37,36,0,1,filetti di acciuga
2722,filetti di acciuga diliscati,1,1,0,0,filetti acciughe
2176,filetti di acciuga dissalati,3,3,0,0,filetti di acciuga dissalati
703,filetti di acciuga sott'olio,22,22,0,0,filetti di acciuga sott'olio
1525,filetti di acciuga sotto sale,1,1,0,0,filetti acciughe
568,filetti di acciughe,6,6,0,0,filetti di acciughe
91,filetti di acciughe sott'olio,6,6,0,0,filetti di acciughe sott'olio
1869,filetti di acciughe sottʼolio,1,1,0,0,filetti acciughe
899,filetti di alici,7,3,0,4,filetti di alici
3031,filetti di alici marinate,1,1,0,0,filetti acciughe
689,filetti di alici sott'olio,3,3,0,0,filetti di alici sott'olio
3427,filetti di aringa,1,1,0,0,filetti acciughe
4892,filetti di aringhe,1,0,0,1,filetti acciughe
4064,filetti di baccalà,2,2,0,0,filetti acciughe
2331,filetti di baccalà bagnato,1,1,0,0,filetti acciughe
1081,filetti di branzino,4,4,0,0,filetti di branzino
3832,filetti di branzino cotto,1,1,0,0,filetti acciughe
491,filetti di branzino diliscati,1,1,0,0,filetti acciughe
897,filetti di cernia,5,3,2,0,filetti di cernia
2165,filetti di coniglio,3,3,0,0,filetti di coniglio
2937,filetti di gallinella,1,1,0,0,filetti acciughe
3239,filetti di halibut,1,1,0,0,filetti acciughe
1972,filetti di mandorla,1,1,0,0,filetti acciughe
2431,filetti di manzo,1,1,0,0,filetti acciughe
1297,filetti di merluzzo,8,7,0,1,filetti di merluzzo
2869,filetti di merluzzo abbastanza,1,1,0,0,filetti acciughe
4502,filetti di nasello,3,0,3,0,filetti di nasello
3315,filetti di ombrina,1,1,0,0,filetti acciughe
2499,filetti di palamita sott'olio,1,1,0,0,filetti acciughe
3411,filetti di peperone,1,1,0,0,filetti acciughe
832,filetti di peperone rosso,2,2,0,0,filetti acciughe
3726,filetti di pesce misto,1,1,0,0,filetti acciughe
1974,filetti di pesce persico,4,4,0,0,filetti di pesce persico
4377,filetti di platessa,4,0,4,0,filetti di platessa
2681,filetti di ricciola,1,1,0,0,filetti acciughe
1831,filetti di rombo,4,4,0,0,filetti di rombo
1117,filetti di salmone,3,3,0,0,filetti di salmone
1248,filetti di salmone norvegese,4,4,0,0,filetti di salmone norvegese
2099,filetti di salmone norvegese ciascuno,2,2,0,0,filetti acciughe
863,filetti di san pietro,4,4,0,0,filetti di san pietro
2914,filetti di sarago,1,1,0,0,filetti acciughe
3908,filetti di scorfano,1,1,0,0,filetti acciughe
1684,filetti di sgombro,2,2,0,0,filetti acciughe
2403,filetti di sgombro affumicato,1,1,0,0,filetti acciughe
717,filetti di sogliola,11,11,0,0,filetti di sogliola
3242,filetti di tonno,9,1,8,0,filetti di tonno
3295,filetti di triglia,4,3,0,1,filetti di triglia
2881,filetti di triglie,2,2,0,0,filetti acciughe
2425,filetti di trota,3,3,0,0,filetti di trota
1934,filetti di trota affumicata,2,2,0,0,filetti acciughe
1257,filetti di trota salmonata,7,7,0,0,filetti di trota salmonata
722,filetto,2,2,0,0,filetto di salmone
3721,filetto d'ombrina,1,1,0,0,filetto di baccalà
1732,filetto di acciuga,2,2,0,0,filetto di baccalà
2133,filetto di acciuga sott'olio,2,2,0,0,filetto di baccalà
4228,filetto di angus,1,1,0,0,filetto di baccalà
203,filetto di baccalà,7,7,0,0,filetto di baccalà
898,filetto di baccalà dissalato,1,1,0,0,filetto di baccalà
3163,filetto di baccalà sotto sale,1,1,0,0,filetto di baccalà
3240,filetto di branzino,1,1,0,0,filetto di baccalà
3538,filetto di bufala,1,1,0,0,filetto di baccalà
3393,filetto di cavallo,2,2,0,0,filetto di baccalà
3134,filetto di halibut,2,2,0,0,filetto di baccalà
1198,filetto di maiale,25,19,6,0,filetto di maiale
835,filetto di manzo,33,14,16,3,filetto di manzo
1152,filetto di merluzzo,15,2,13,0,filetto di merluzzo
616,filetto di nasello,3,3,0,0,filetto di baccalà
3241,filetto di orata,1,1,0,0,filetto di baccalà
3737,filetto di pescatrice,2,2,0,0,filetto di baccalà
3369,filetto di pesce,1,1,0,0,filetto di baccalà
2820,filetto di pesce spada,1,1,0,0,filetto di baccalà
542,filetto di salmone,56,14,42,0,filetto di salmone
1040,filetto di salmone norvegese,4,4,0,0,filetto di baccalà
3334,filetto di seitan,1,1,0,0,filetto di baccalà
1472,filetto di tonno,10,10,0,0,filetto di tonno
2562,filetto di trota affumicata,1,1,0,0,filetto di baccalà
1749,filetto di trota iridea,1,1,0,0,filetto di baccalà
701,filetto di trota salmonata,1,1,0,0,filetto di baccalà
2651,filetto di vitello,12,4,2,6,filetto di vitello
2430,fili d'angelo,1,1,0,0,fili d'angelo
4514,filini,1,0,1,0,filini
3848,filoncini ai cereali,1,1,0,0,filoncini di pane
4432,filoncini di pane,5,0,5,0,filoncini di pane
2273,filoncini tipo baguette,1,1,0,0,filoncini di pane
1591,filoncino ai cereali,1,1,0,0,filoncino ai cereali
3422,filoncino di pane toscano,1,1,0,0,filoncino di pane toscano
3955,filone di vitello,1,1,0,0,filone di vitello
1439,finferli,8,8,0,0,finferli
2678,finferli secchi,1,1,0,0,finferli
1559,finger lime,1,1,0,0,finger lime
417,finocchi,67,38,27,2,finocchi
3259,finocchietti,1,1,0,0,finocchietto
3550,finocchietti selvatici,2,2,0,0,finocchietti selvatici
464,finocchietto,27,27,0,0,finocchietto
380,finocchietto fresco,4,4,0,0,finocchietto
543,finocchietto selvatico,59,18,39,2,finocchietto selvatico
1290,finocchietto selvatico essiccato,1,1,0,0,finocchietto
268,finocchio,23,22,0,1,finocchio
688,finocchio selvatico,8,4,0,4,finocchio
2510,finocchiona,1,1,0,0,finocchiona
1141,fiocchetti di burro,3,3,0,0,fiocchetti di burro
3921,fiocchi d'avena,1,1,0,0,fiocchi di avena
3922,fiocchi d'orzo,1,1,0,0,fiocchi di avena
1719,fiocchi di avena,22,5,17,0,fiocchi di avena
2083,fiocchi di cereali,1,1,0,0,fiocchi di avena
2494,fiocchi di grano,1,1,0,0,fiocchi di avena
4637,fiocchi di latte,1,0,1,0,fiocchi di avena
1662,fiocchi di mais,2,2,0,0,fiocchi di avena
3885,fiocchi di patate,1,1,0,0,fiocchi di avena
3155,fiocchi di riso integrali,1,1,0,0,fiocchi di avena
3736,fiocchi di sale,28,2,26,0,fiocchi di sale
3181,fiocchi di soia,3,3,0,0,fiocchi di avena
1320,fior di farina,1,1,0,0,fior di latte
497,fior di latte,3,3,0,0,fior di sale
918,fior di sale,25,19,6,0,fior di sale
469,fiordilatte,22,10,12,0,fiordilatte
2793,fiore sardo,1,1,0,0,fiore sardo
2358,fiorentina,1,1,0,0,fiorentina
1643,fioretto,2,2,0,0,fioretto
244,fioretto di mais,1,1,0,0,fioretto di mais
4435,fiori,2,0,2,0,fiori di zucca
1303,fiori di anice stellato,1,1,0,0,fiori di zucca
3962,fiori di camomilla,1,1,0,0,fiori di zucca
1924,fiori di gelsomino,2,1,0,1,fiori di zucca
4496,fiori di lavanda,2,0,2,0,fiori di zucca
2052,fiori di lavanda di provenza,1,1,0,0,fiori di zucca
1242,fiori di pepe di sichuan,1,1,0,0,fiori di zucca
3303,fiori di pesco,1,1,0,0,fiori di zucca
914,fiori di zucca,65,22,36,7,fiori di zucca
4639,fiori di zucchero,1,0,1,0,fiori di zucca
3271,fiori di zucchina,2,2,0,0,fiori di zucca
3676,fiori di zucchine,1,1,0,0,fiori di zucca
4020,fiori dʼaglio,1,1,0,0,fiori di zucca
169,fiori eduli,15,4,11,0,fiori eduli
2928,fiori eduli canditi,1,1,0,0,fiori di zucca
2971,fiori eduli secchi,1,1,0,0,fiori di zucca
3349,fiori secchi,1,1,0,0,fiori di zucca
1457,fleur de sel,1,1,0,0,fleur de sel
1709,focaccia,5,5,0,0,focaccia
3377,focaccia al rosmarino,1,1,0,0,focaccia
1362,focaccia alle olive,1,1,0,0,focaccia
1673,focaccia di pane,1,1,0,0,focaccia
1486,fogli di brick,1,1,0,0,fogli di brick
4667,foglie di vite,2,0,2,0,foglie di vite
792,foie gras,4,4,0,0,foie gras
1418,fondi di carciofo,1,1,0,0,fondi di carciofo
4279,fontal,4,0,4,0,fontal
548,fontina,138,84,48,6,fontina
786,fontina dolce,7,7,0,0,fontina dolce
3287,fontina fresca,1,1,0,0,fontina
2580,fontina semipiccante,1,1,0,0,fontina
478,fontina valdostana,5,4,0,1,fontina
4106,formaggelle,1,1,0,0,formaggelle
3952,formaggetta ligure,1,1,0,0,formaggetta ligure
3566,formaggi caprini,1,1,0,0,formaggio
1120,formaggi misti,2,2,0,0,formaggio
3572,formaggini,2,2,0,0,formaggini
1606,formaggini caprini,2,2,0,0,formaggini caprini
75,formaggio,221,213,4,4,formaggio
285,formaggio asiago,6,6,0,0,formaggio asiago
3582,formaggio bianco,3,3,0,0,formaggio
1103,formaggio bitto,1,1,0,0,formaggio
588,formaggio bra,1,1,0,0,formaggio
2267,formaggio brie,1,1,0,0,formaggio
383,formaggio caprino,2,2,0,0,formaggio
4825,formaggio carnico,1,0,0,1,formaggio
3841,formaggio casera,1,1,0,0,formaggio
2223,formaggio castelmagno,2,2,0,0,formaggio
1858,formaggio cheddar,1,1,0,0,formaggio
3849,formaggio chester,1,1,0,0,formaggio
277,formaggio cremoso,25,25,0,0,formaggio cremoso
2610,formaggio cremoso da spalmare,1,1,0,0,formaggio
3207,formaggio cremoso light,1,1,0,0,formaggio
781,formaggio di capra,5,4,0,1,formaggio
3797,formaggio di capra dolce,1,1,0,0,formaggio
3138,formaggio di capra spalmabile,1,1,0,0,formaggio
1233,formaggio di fossa,3,2,1,0,formaggio
3985,formaggio di latte vaccino,1,1,0,0,formaggio
1830,formaggio di malga,2,2,0,0,formaggio
