,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
555,un pizzico di noce moscata,un pizzico di noce moscata,noce moscata,un pizzico,noce moscata,noce moscata,356
556,80 g di parmigiano grattugiato,80 g di parmigiano grattugiato,parmigiano,80 g,parmigiano,parmigiano reggiano dop,1291
557,350 ml di latte,350 ml di latte,latte,350 ml,latte,latte,2242
558,35 g di farina 00,35 g di farina 00,farina,35 g,farina,farina,2121
559,"1,5 kg di ricotta","1,5 kg di ricotta",ricotta,"1,5 kg",ricotta,ricotta,324
560,300 gr di zucchero,300 gr di zucchero,zucchero,300 gr,zucchero,zucchero,4949
561,1 bicchiere di panna montata,1 bicchiere di panna montata,panna,1 bicchiere,panna,panna fresca,1860
562,1 bustina di vaniglia,1 bustina di vaniglia,vaniglia,1 bustina,vaniglia,baccello di vaniglia,845
563,500 g di mascarpone,500 g di mascarpone,mascarpone,500 g,mascarpone,mascarpone,213
564,300 g di zucchero,300 g di zucchero,zucchero,300 g,zucchero,zucchero,4949
565,150 g di amaretti,150 g di amaretti,amaretti,150 g,amaretti,amaretti,104
566,500 g di savoiardi,500 g di savoiardi,savoiardi,500 g,savoiardi,savoiardi,82
567,1 tazzina di brandy,1 tazzina di brandy,brandy,1 tazzina,brandy,brandy,122
568,1 tazzina di caffè ristretto,1 tazzina di caffè ristretto,caffè,1 tazzina,caffè,caffè,190
569,100 ml di caffè,100 ml di caffè,caffè,100 ml,caffè,caffè,190
570,2 cucchiai di cacao dolce,2 cucchiai di cacao dolce,cacao dolce,2 cucchiai,cacao dolce,cacao dolce,14
571,2 cucchiai di zucchero a velo,2 cucchiai di zucchero,zucchero,2 cucchiai,zucchero,zucchero,4949
572,4 melanzane,4 melanzane,melanzane,4,melanzane,melanzane,295
573,1/2 kg di stocco,1/2 kg di stocco,stocco,1/2 kg,stoccafisso,stocco,20
574,formaggio pecorino,formaggio pecorino,formaggio pecorino,,pecorino,pecorino,519
575,150 gr di pangrattato,150 gr di pangrattato,pangrattato,150 gr,pangrattato,pangrattato,834
576,150 parmigiano reggiano,150 parmigiano reggiano,parmigiano reggiano,150,parmigiano reggiano,parmigiano reggiano dop,1291
577,sfoglia per ravioli,sfoglia,sfoglia,,sfoglie,sfoglia,6
578,500 gr di stocco,500 gr di stocco,stocco,500 gr,stoccafisso,stocco,20
579,400 gr di pelati,400 gr di pelati,pelati,400 gr,pelati,pomodori pelati,196
580,pecorino grattuggiato,pecorino grattuggiato,pecorino,,pecorino,pecorino,519
581,spinaci,spinaci,spinaci,,spinaci,spinaci,245
582,1 kg di canocchie,1 kg di canocchie,canocchie,1 kg,canocchie,canocchie,14
583,1 coniglio,1 coniglio,coniglio,1,coniglio,carne di coniglio,65
584,strutto,strutto,strutto,,strutto,strutto,134
585,800 gr di stocco,800 gr di stocco,stocco,800 gr,stoccafisso,stocco,20
586,olive,olive,olive,,olive,olive,72
587,600 gr di filetto di manzo,600 gr di filetto di manzo,filetto di manzo,600 gr,filetto di manzo,carne di bovino,492
588,100 gr di parmigiano reggiano,100 gr di parmigiano reggiano,parmigiano reggiano,100 gr,parmigiano reggiano,parmigiano reggiano dop,1291
589,4 fette di prosciutto di parma,4 fette di prosciutto di parma,prosciutto di parma,4 fette,prosciutto,prosciutto crudo,182
590,1/2 litro di lambrusco,1/2 litro di lambrusco,lambrusco,1/2 litro,lambrusco,lambrusco,5
591,1/2 bicchiere di marsala,1/2 bicchiere di marsala,marsala,1/2 bicchiere,marsala,marsala,121
592,80 ml di panna da cucina,80 ml di panna da cucina,panna da cucina,80 ml,panna,panna fresca,1860
593,1 pan di spagna,1 pan di spagna,pan di spagna,1 pan,pan di spagna,pan di spagna,30
594,150 gr di burro,150 gr di burro,burro,150 gr,burro,burro,4606
595,50 gr di torrone,50 gr di torrone,torrone,50 gr,torrone,torrone,25
596,30 gr di croccante,30 gr di croccante,croccante,30 gr,croccante,croccante,6
597,30 gr di cioccolato al latte,30 gr di cioccolato al latte,cioccolato al latte,30 gr,cioccolato al latte,cioccolato al latte,59
598,30 gr di cacao amaro,30 gr di cacao amaro,cacao amaro,30 gr,cacao amaro,cacao amaro,524
599,100 gr di zucchero a velo,100 gr di zucchero,zucchero,100 gr,zucchero,zucchero,4949
600,1 bicchierino di liquore centerba,1 bicchierino di liquore centerba,liquore centerba,1 bicchierino,liquore,liquore,38
601,1 kg di farina di granturco per polenta,1 kg di farina di granturco,farina di granturco,1 kg,farina,farina,2121
602,300 gr di pancetta,300 gr di pancetta,pancetta,300 gr,pancetta,pancetta,245
603,6 salsicce,6 salsicce,salsicce,6,salsicce,salsiccia,225
604,1/2 bicchiere di olio d'oliva,1/2 bicchiere di olio d'oliva,olio d'oliva,1/2 bicchiere,olio d'oliva,olio d'oliva,122
605,1 kg di pomodoro,1 kg di pomodoro,pomodoro,1 kg,pomodoro,pomodori,634
606,3 melanzane,3 melanzane,melanzane,3,melanzane,melanzane,295
607,700 g di polpa di pomodoro,700 g di polpa di pomodoro,polpa di pomodoro,700 g,polpa di pomodoro,polpa di pomodoro,49
608,250 g di mozzarella o provola,250 g di mozzarella,mozzarella,250 g,mozzarella,mozzarella,264
609,400 g di funghi porcini,400 g di funghi porcini,funghi porcini,400 g,funghi porcini,funghi porcini,107
610,800 gr di castrato,800 gr di castrato,castrato,800 gr,castrato,castrato,4
611,150 gr di farina di mais,150 gr di farina di mais,farina di mais,150 gr,farina di mais,farina di mais,144
612,150 gr di farina 00,150 gr di farina 00,farina,150 gr,farina,farina,2121
613,70 gr di uva sultanina,70 gr di uva sultanina,uva sultanina,70 gr,uva sultanina,uva passa,87
614,60 gr di noci,60 gr di noci,noci,60 gr,noci,noci,222
615,60 gr di fichi secchi,60 gr di fichi secchi,fichi secchi,60 gr,fichi secchi,fichi secchi,41
616,60 gr di burro,60 gr di burro,burro,60 gr,burro,burro,4606
617,1 bustina di lievito in polvere per dolci,1 bustina di lievito,lievito,1 bustina,lievito,lievito,994
618,130 ml di latte intero,130 ml di latte intero,latte intero,130 ml,latte intero,latte,2242
619,8 fette di pancarrè,8 fette di pancarrè,pancarrè,8 fette,pancarrè,pancarrè,96
620,2 mozzarelle,2 mozzarelle,mozzarelle,2,mozzarelle,mozzarella,264
621,400 g di farina,400 g di farina,farina,400 g,farina,farina,2121
622,4 cucchiai di latte,4 cucchiai di latte,latte,4 cucchiai,latte,latte,2242
623,40 g di asiago d'allevo stravecchio grattugiato,40 g di asiago d'allevo stravecchio grattugiato,asiago,40 g,asiago,asiago,30
624,100 gr di zucchine,100 gr di zucchine,zucchine,100 gr,zucchine,zucchine,654
625,100 gr di fagiolini,100 gr di fagiolini,fagiolini,100 gr,fagiolini,fagiolini,153
626,100 gr di patate,100 gr di patate,patate,100 gr,patate,patate,1000
627,100 gr di pomodori,100 gr di pomodori,pomodori,100 gr,pomodori,pomodori,634
628,100 gr di peperoni,100 gr di peperoni,peperoni,100 gr,peperoni,peperoni,612
629,100 gr di sedano,100 gr di sedano,sedano,100 gr,sedano,sedano,796
630,100 gr di carote,100 gr di carote,carote,100 gr,carote,carote,1077
631,100 gr di cipolle,100 gr di cipolle,cipolle,100 gr,cipolle,cipolla,1415
632,olio extraverginne d'oliva,olio extraverginne d'oliva,olio extraverginne d'oliva,,olio,olio extravergine d'oliva,4337
633,4 sogliole,4 sogliole,sogliole,4,sogliola,sogliola,30
634,300 g di piattoni,300 g di piattoni,piattoni,300 g,piattoni,piattoni,2
635,150 g di zucca,150 g di zucca,zucca,150 g,zucca,zucca,226
636,50 g di pancetta,50 g di pancetta,pancetta,50 g,pancetta,pancetta,245
637,300 g di mandorle,300 g di mandorle,mandorle,300 g,mandorle,mandorle,415
638,180 g di zucchero,180 g di zucchero,zucchero,180 g,zucchero,zucchero,4949
639,olio di semi,olio di semi,olio di semi,,olio di semi,olio di semi,323
640,200 gr di mandorle,200 gr di mandorle,mandorle,200 gr,mandorle,mandorle,415
641,una bustina di cannella,una bustina di cannella,cannella,una bustina,cannella,cannella,499
642,buccia di limone grattuggiata,buccia di limone grattuggiata,limone,,limone,limone,1394
643,8 mandorle,8 mandorle,mandorle,8,mandorle,mandorle,415
644,8 noci,8 noci,noci,8,noci,noci,222
645,1 cucchiaio di uva sultanina,1 cucchiaio di uva sultanina,uva sultanina,1 cucchiaio,uva sultanina,uva passa,87
646,olio per friggere,olio,olio,,olio,olio,2191
647,miele,miele,miele,,miele,miele,335
648,600 gr di patate,600 gr di patate,patate,600 gr,patate,patate,1000
649,1 cavolo rapa,1 cavolo rapa,cavolo rapa,1,rapa,rape,38
650,30 gr di burro,30 gr di burro,burro,30 gr,burro,burro,4606
651,250 gr di farina,250 gr di farina,farina,250 gr,farina,farina,2121
652,fichi secchi,fichi secchi,fichi secchi,,fichi secchi,fichi secchi,41
653,1 cucchiaio di ricotta affumicata e grattugiata,1 cucchiaio di ricotta affumicata,ricotta affumicata,1 cucchiaio,ricotta affumicata,ricotta affumicata,11
654,1 cucchiaio di formaggio grattugiato,1 cucchiaio di formaggio grattugiato,formaggio,1 cucchiaio,formaggio,formaggio,264
655,1 cucchiaio di pangrattato,1 cucchiaio di pangrattato,pangrattato,1 cucchiaio,pangrattato,pangrattato,834
656,1 chiodo di garofano,1 chiodo di garofano,chiodo di garofano,1,chiodo di garofano,chiodi di garofano,180
657,1 cucchiaio di uvetta passa,1 cucchiaio di uvetta passa,uvetta passa,1 cucchiaio,uvetta,uva passa,87
658,melissa,melissa,melissa,,melissa,melissa,10
659,800 g di fagioli borlotti freschi,800 g di fagioli borlotti freschi,fagioli borlotti,800 g,fagioli borlotti,fagioli borlotti,47
660,1 pollo da 1 kg,1 pollo da 1 kg,pollo,1,pollo,carne di pollo,350
661,2 fette di lardo,2 fette di lardo,lardo,2 fette,lardo,lardo,114
662,50 g di soppressa,50 g di soppressa,soppressa,50 g,soppressa,soppressa,4
663,2 rametti di rosmarino,2 rametti di rosmarino,rosmarino,2 rametti,rosmarino,rosmarino,850
664,"1,25 dl di vino bianco secco","1,25 dl di vino bianco secco",vino bianco secco,dl,vino bianco secco,vino bianco,1177
665,1 lepre,1 lepre,lepre,1,lepre,carne di lepre,9
666,vino rosso,vino rosso,vino rosso,,vino rosso,vino rosso,219
667,cipolle rosse di tropea,cipolle rosse di tropea,cipolle rosse di tropea,,cipolle rosse di tropea,cipolla di tropea,103
668,alloro,alloro,alloro,,alloro,alloro,451
669,farina d'orzo,farina d'orzo,farina d'orzo,,farina,farina,2121
670,pane raffermo,pane raffermo,pane raffermo,,pane raffermo,pane raffermo,106
671,500 gr di fettuccine,500 gr di fettuccine,fettuccine,500 gr,fettuccine all'uovo,fettuccine all'uovo,23
672,4 peperoni,4 peperoni,peperoni,4,peperoni,peperoni,612
673,200 ml di panna liquida,200 ml di panna liquida,panna liquida,200 ml,panna liquida,panna fresca,1860
674,mandorle,mandorle,mandorle,,mandorle,mandorle,415
675,cioccolato fondente,cioccolato fondente,cioccolato fondente,,cioccolato fondente,cioccolato fondente,833
676,essenza di limone,essenza di limone,essenza di limone,,essenza di senape,essenza,6
677,150 gr di fagioli borlotti,150 gr di fagioli borlotti,fagioli borlotti,150 gr,fagioli borlotti,fagioli borlotti,47
678,50 gr di lardo,50 gr di lardo,lardo,50 gr,lardo,lardo,114
679,50 gr di pancetta,50 gr di pancetta,pancetta,50 gr,pancetta,pancetta,245
680,250 gr di patate,250 gr di patate,patate,250 gr,patate,patate,1000
681,2 foglie di alloro,2 foglie di alloro,alloro,2 foglie,alloro,alloro,451
682,1/2 cucchiaio di concentrato di pomodoro,1/2 cucchiaio di concentrato di pomodoro,concentrato di pomodoro,1/2 cucchiaio,concentrato di pomodoro,concentrato di pomodoro,192
683,400 gr di fagioli,400 gr di fagioli,fagioli,400 gr,fagioli,fagioli,87
684,500 gr di polpa di pomodoro,500 gr di polpa di pomodoro,polpa di pomodoro,500 gr,polpa di pomodoro,polpa di pomodoro,49
685,cicale di mare,cicale di mare,cicale mare,,cicale mare,cicale,2
686,gamberi,gamberi,gamberi,,gamberi,gamberi,194
687,scorfani,scorfani,scorfani,,scorfano,scorfano,15
688,razze,razze,razze,,razze,razza,4
689,tracine,tracine,tracine,,tracine,tracine,1
690,sogliole,sogliole,sogliole,,sogliola,sogliola,30
691,merluzzi,merluzzi,merluzzi,,merluzzo,merluzzo,49
692,triglie,triglie,triglie,,triglie,triglie,31
693,calamari,calamari,calamari,,calamari,calamari,102
694,800 g di pomodori,800 g di pomodori,pomodori,800 g,pomodori,pomodori,634
695,1/2 peperone,1/2 peperone,peperone,1/2,peperone,peperoni,612
696,4 calamari,4 calamari,calamari,4,calamari,calamari,102
697,70 g di gherigli di noce,70 g di gherigli di noce,noce,70 g,noce,noci,222
698,70 g di parmigiano reggiano grattugiato,70 g di parmigiano reggiano grattugiato,parmigiano reggiano,70 g,parmigiano reggiano,parmigiano reggiano dop,1291
699,1 spicchio di aglio,1 spicchio di aglio,aglio,1 spicchio,aglio,aglio,2572
700,400 ml di salsa di pomodoro,400 ml di salsa di pomodoro,salsa di pomodoro,400 ml,salsa di pomodoro,salsa di pomodoro,90
701,4 cucchiai di olio extravergine di oliva,4 cucchiai di olio extravergine di oliva,olio extravergine di oliva,4 cucchiai,olio extravergine di oliva,olio extravergine d'oliva,4337
702,4 acciughe sotto sale,4 acciughe sotto sale,acciughe sotto sale,4,acciughe sotto sale,acciughe,403
703,16 olive nere,16 olive nere,olive nere,16,olive nere,olive nere,244
704,1 kg di aguglie grandi,1 kg di aguglie grandi,aguglie,1 kg,aguglie,aguglie,2
705,20 triglie,20 triglie,triglie,20,triglie,triglie,31
706,200 gr. prosciutto crudo,200 gr. prosciutto crudo,prosciutto crudo,200 gr .,prosciutto crudo,prosciutto crudo,182
707,20 foglie di alloro,20 foglie di alloro,alloro,20 foglie,alloro,alloro,451
708,1/2 bicchiere di vino bianco,1/2 bicchiere di vino bianco,vino bianco,1/2 bicchiere,vino bianco,vino bianco,1177
709,1 musèt o cotechino,1 musèt,musèt,1,musèt,musèt,2
710,600 gr di brovade (rape macerate al vino),600 gr di brovade,brovade,600 gr,brovade,brovade,2
711,40 g di lardo,40 g di lardo,lardo,40 g,lardo,lardo,114
712,1 cipolla piccola,1 cipolla piccola,cipolla,1,cipolla,cipolla,1415
713,500 g di pasta frolla,500 g di pasta frolla,pasta frolla,500 g,pasta frolla,pasta frolla,77
714,200 g di grano cotto,200 g di grano cotto,grano cotto,200 g,grano cotto,grano cotto,9
715,500 g di ricotta,500 g di ricotta,ricotta,500 g,ricotta,ricotta,324
716,200 g di zucchero,200 g di zucchero,zucchero,200 g,zucchero,zucchero,4949
717,cedro ed arancia canditi,cedro,cedro,,cedro,cedro,11
718,800 gr. di fette di pesce spada,800 gr. di fette di pesce spada,pesce spada,800 gr,pesce spada,pesce spada,66
719,olio extra-vergine d'oliva,olio extra-vergine d'oliva,olio extravergine d'oliva,,olio extravergine d'oliva,olio extravergine d'oliva,4337
720,un limone,un limone,limone,un,limone,limone,1394
721,500 gr di patate,500 gr di patate,patate,500 gr,patate,patate,1000
722,300 gr di provola,300 gr di provola,provola,300 gr,provola,provola,62
723,100 gr di prosciutto cotto in un'unica fetta,100 gr di prosciutto cotto,prosciutto cotto,100 gr,prosciutto cotto,prosciutto cotto,324
724,parmigiano,parmigiano,parmigiano,,parmigiano,parmigiano reggiano dop,1291
725,2 kg di rape,2 kg di rape,rape,2 kg,rape,rape,38
726,1 kg di tonno in un unico pezzo,1 kg di tonno,tonno,1 kg,tonno,tonno,101
727,2 acciughe,2 acciughe,acciughe,2,acciughe,acciughe,403
728,250 gr di funghi ovoli,250 gr di funghi ovoli,funghi ovoli,250 gr,funghi,funghi,48
729,2 coste di sedano,2 coste di sedano,sedano,2,sedano,sedano,796
730,40 gr di pancetta,40 gr di pancetta,pancetta,40 gr,pancetta,pancetta,245
731,400 gr di stocco,400 gr di stocco,stocco,400 gr,stoccafisso,stocco,20
732,800 gr di alici,800 gr di alici,alici,800 gr,alici,alici,44
733,200 gr di pomodorini,200 gr di pomodorini,pomodorini,200 gr,pomodorini,pomodorini,142
734,capperi sotto sale,capperi sotto sale,capperi sotto sale,,capperi sotto sale,capperi,366
735,300 g di miele,300 g di miele,miele,300 g,miele,miele,335
736,400 g zucchero semolato,400 g zucchero semolato,zucchero semolato,400 g,zucchero semolato,zucchero,4949
737,250 g cioccolato,250 g cioccolato,cioccolato,250 g,cioccolato,cioccolato,105
738,700 g di nocciole,700 g di nocciole,nocciole,700 g,nocciole,nocciole,164
739,ostie,ostie,ostie,,ostia,ostia,12
740,200 g di ricotta di bufala,200 g di ricotta di bufala,ricotta di bufala,200 g,ricotta di bufala,ricotta di bufala,17
741,125 g di semolino,125 g di semolino,semolino,125 g,semolino,semolino,56
742,1 tuorlo,1 tuorlo,tuorlo,1,tuorlo,tuorli,1385
743,1/2 cucchiaino di essenza di vaniglia,1/2 cucchiaino di essenza di vaniglia,essenza di vaniglia,1/2 cucchiaino,essenza di vaniglia,essenza di vaniglia,100
744,50 g di arancia candita,50 g di arancia candita,arancia candita,50 g,arancia candita,arancia candita,60
745,1 cucchiaio di zucchero a velo,1 cucchiaio di zucchero,zucchero,1 cucchiaio,zucchero,zucchero,4949
746,500 gr di fusilli,500 gr di fusilli,fusilli,500 gr,fusilli,fusilli,71
747,300 gr di funghi,300 gr di funghi,funghi,300 gr,funghi,funghi,48
748,1 kg di asparagi verdi,1 kg di asparagi verdi,asparagi verdi,1 kg,asparagi verdi,asparagi,192
749,1 scalogno,1 scalogno,scalogno,1,scalogno,scalogno,620
750,8 filetti di acciughe,8 filetti di acciughe,filetti acciughe,8,filetti di acciuga,acciughe,403
751,1 cuchiaino di aceto di vino bianco,1 cuchiaino di aceto di vino bianco,aceto di vino bianco,1 cuchiaino,aceto di vino bianco,aceto,528
752,1 kg di pesce da zuppa,1 kg di pesce da zuppa,pesce da zuppa,1 kg,pesce,pesce,29
753,san pietro,san pietro,,,,,
754,gallinella,gallinella,gallinella,,gallinella,gallinella,13
755,scorfano,scorfano,scorfano,,scorfano,scorfano,15
756,triglia,triglia,trigilia,,trigilia,triglie,31
757,150 g di pomodorini,150 g di pomodorini,pomodorini,150 g,pomodorini,pomodorini,142
758,500 gr di tagliatelle,500 gr di tagliatelle,tagliatelle,500 gr,tagliatelle,tagliatelle,37
759,400 gr di baccalà,400 gr di baccalà,baccalà,400 gr,baccalà,baccalà,94
760,25 gr di funghi secchi,25 gr di funghi secchi,funghi secchi,25 gr,funghi secchi,funghi secchi,48
761,40 gr di burro,40 gr di burro,burro,40 gr,burro,burro,4606
762,scorza grattugiata di limone,scorza grattugiata di limone,limone,,limone,limone,1394
763,300 gr di pasta mista,300 gr di pasta mista,pasta mista,300 gr,pasta,pasta,78
764,30 castagne,30 castagne,castagne,30,castagne,castagne,56
765,un cappone,un cappone,cappone,un,cappone,cappone,15
766,120 gr di burro,120 gr di burro,burro,120 gr,burro,burro,4606
767,10 filetti di acciuga,10 filetti di acciuga,filetti di acciuga,10,filetti di acciuga,acciughe,403
768,marsala,marsala,marsala,,marsala,marsala,121
769,mezzo limone,mezzo limone,limone,mezzo,limone,limone,1394
770,300 g di farina di castagne,300 g di farina di castagne,farina di castagne,300 g,farina di castagne,farina di castagne,38
771,1/2 bicchiere di latte,1/2 bicchiere di latte,latte,1/2 bicchiere,latte,latte,2242
772,4-5 cucchiai di olio extravergine d'oliva,4-5 cucchiai di olio extravergine d'oliva,olio extravergine d'oliva,4 - 5 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
773,8 salsicce,8 salsicce,salsicce,8,salsicce,salsiccia,225
774,1 kg di friarielli,1 kg di friarielli,friarielli,1 kg,friarielli,friarielli,4
775,piedini di maiale,piedini di maiale,piedini di maiale,,piedini di maiale,carne di suino,202
776,cotiche di maiale,cotiche di maiale,cotiche di maiale,,cotiche di maiale,cotenna di suino,25
777,orecchie di maiale,orecchie di maiale,maiale,orecchie,maiale,carne di suino,202
778,costata di maiale,costata di maiale,maiale,,maiale,carne di suino,202
779,muso di maiale,muso di maiale,muso di maiale,,muso di maiale,carne di suino,202
780,800 g di baccalà già ammollato,800 g di baccalà,baccalà,800 g,baccalà,baccalà,94
781,500 ml di latte intero fresco,500 ml di latte intero fresco,latte intero,500 ml,latte intero,latte,2242
782,250 g di olive verdi snocciolate,250 g di olive verdi snocciolate,olive verdi snocciolate,250 g,olive verdi snocciolate,olive verdi,119
783,1 kg di patate,1 kg di patate,patate,1 kg,patate,patate,1000
784,200 g di farina,200 g di farina,farina,200 g,farina,farina,2121
785,1/2 bicchiere di vino bianco secco,1/2 bicchiere di vino bianco secco,vino bianco secco,1/2 bicchiere,vino bianco secco,vino bianco,1177
786,1 kg di stocco,1 kg di stocco,stocco di mammola,1 kg,stocco,stocco,20
787,pomodori pelati,pomodori pelati,pomodori pelati,,pomodori pelati,pomodori pelati,196
788,1 kg di castagne,1 kg di castagne,castagne,1 kg,castagne,castagne,56
789,300 ml do vino rosso,300 ml do vino rosso,vino rosso,300 ml,vino rosso,vino rosso,219
790,400 gr di carne di manzo,400 gr di carne di manzo,carne di manzo,400 gr,carne di manzo,carne di bovino,492
791,100 gr di pangrattato,100 gr di pangrattato,pangrattato,100 gr,pangrattato,pangrattato,834
792,spezie,spezie,spezie,,spezie,spezie,13
793,2 cucchiai di salsa di pomodoro,2 cucchiai di salsa di pomodoro,salsa di pomodoro,2 cucchiai,salsa di pomodoro,salsa di pomodoro,90
794,4 finocchi,4 finocchi,finocchi,4,finocchi,finocchi,98
795,700 gr di tonno,700 gr di tonno,tonno,700 gr,tonno,tonno,101
796,farina 00,farina 00,farina,,farina,farina,2121
797,50 g di farina 00,50 g di farina 00,farina,50 g,farina,farina,2121
798,1 l di mosto d'uva (o di succo d'uva),1 l di mosto d'uva,mosto d'uva,1 l,mosto d'uva,mosto d'uva,3
799,500 gr di farina bianca,500 gr di farina bianca,farina bianca,500 gr,farina bianca,farina 00,1803
800,olio extravergine d'olia,olio extravergine d'olia,olio extravergine d'olia,,olio,olio extravergine d'oliva,4337
801,300 g di farina bianca,300 g di farina bianca,farina bianca,300 g,farina bianca,farina 00,1803
802,"50 g di maiale, pollo, mortadella e prosciutto","50 g di maiale, pollo, mortadella",maiale,50 g,maiale,carne di suino,202
803,100 g di roast beef,100 g di roast beef,roastbeef,100 g,roastbeef,roastbeef,2
804,2 cucchiai di burro,2 cucchiai di burro,burro,2 cucchiai,burro,burro,4606
805,100 g di parmigiano grattugiato,100 g di parmigiano grattugiato,parmigiano,100 g,parmigiano,parmigiano reggiano dop,1291
806,2 litri di brodo di manzo o di pollo,2 litri di brodo di manzo,brodo di manzo,2 litri,brodo di manzo,brodo di carne,219
807,3 uova e due tuorli,3 uova,uova,3,uova,uova,3872
808,150 g di zucchero,150 g di zucchero,zucchero,150 g,zucchero,zucchero,4949
809,150 g di cocozza,150 g di cocozza,cocozza,150 g,cocozza,cocozza,1
810,2 cucchiai di zucchero,2 cucchiai di zucchero,zucchero,2 cucchiai,zucchero,zucchero,4949
811,cedro e arancia canditi,cedro,cedro,,cedro,cedro,11
812,confettini colorati d'argento,confettini colorati d'argento,confettini colorati d'argento,,confettini colorati,confettini colorati,14
813,150 gr di parmigiano reggiano,150 gr di parmigiano reggiano,parmigiano reggiano,150 gr,parmigiano reggiano,parmigiano reggiano dop,1291
814,1 cucchiaio di farina 00,1 cucchiaio di farina 00,farina,1 cucchiaio,farina,farina,2121
815,4 petti di pollo,4 petti di pollo,petti di pollo,4,petti di pollo,carne di pollo,350
816,4 fette di prosciutto cotto,4 fette di prosciutto cotto,prosciutto cotto,4 fette,prosciutto cotto,prosciutto cotto,324
817,4 fette di fontina,4 fette di fontina,fontina,4 fette,fontina,fontina,155
818,1/2 bicchiere di vino,1/2 bicchiere di vino,vino,1/2 bicchiere,vino,vino,43
819,olio extra vergine d’oliva,olio extra vergine d’oliva,olio extravergine d'oliva,,olio extravergine d'oliva,olio extravergine d'oliva,4337
820,besciamella,besciamella,besciamella,,besciamella,besciamella,110
821,1/2 kg di friarielli,1/2 kg di friarielli,friarielli,1/2 kg,friarielli,friarielli,4
822,1 kg. di capretto,1 kg. di capretto,capretto,1 kg .,capretto,capretto,10
823,1 bicchiere di vino secco,1 bicchiere di vino secco,vino secco,1 bicchiere,vino,vino,43
824,un cucchiaio di salsa di pomodoro,un cucchiaio di salsa di pomodoro,salsa di pomodoro,un cucchiaio,salsa di pomodoro,salsa di pomodoro,90
825,un cucchiaio di brodo,un cucchiaio di brodo,brodo,un cucchiaio,brodo,brodo,215
826,lardo,lardo,lardo,,lardo,lardo,114
827,400 g di cavolo verza,400 g di cavolo verza,cavolo verza,400 g,cavolo verza,cavolo verza,13
828,2 cucchiai di aceto,2 cucchiai di aceto,aceto,2 cucchiai,aceto,aceto,528
829,400 gr di riso carnaroli,400 gr di riso carnaroli,riso carnaroli,400 gr,riso carnaroli,riso carnaroli,233
830,4 carciofi,4 carciofi,carciofi,4,carciofi,carciofi,222
831,8 zucchine,8 zucchine,zucchine,8,zucchine,zucchine,654
832,100 gr di pecorino grattugiato,100 gr di pecorino grattugiato,pecorino,100 gr,pecorino,pecorino,519
833,400 gr di salsiccia modenese,400 gr di salsiccia modenese,salsiccia modenese,400 gr,salsiccia,salsiccia,225
834,1 peperone,1 peperone,peperone,1,peperone,peperoni,612
835,4 cipolle,4 cipolle,cipolle,4,cipolle,cipolla,1415
836,1 kg di pomodori,1 kg di pomodori,pomodori,1 kg,pomodori,pomodori,634
837,300 gr di farina 00,300 gr di farina 00,farina,300 gr,farina,farina,2121
838,70 gr di zucchero,70 gr di zucchero,zucchero,70 gr,zucchero,zucchero,4949
839,50 ml di latte,50 ml di latte,latte,50 ml,latte,latte,2242
840,4 cucchiai di rum o di grappa,4 cucchiai di rum,rum,4 cucchiai,rum,rum,218
841,semi di anice,semi di anice,semi di anice,,semi di anice,semi,107
842,1 bicchiere e 1/2 di vino bianco,1 bicchiere,,,,,
843,16 costolette di agnello,16 costolette di agnello,costolette di agnello,16,costolette di agnello,carne di agnello,57
844,carciofi sott'olio,carciofi sott'olio,carciofi sott'olio,,carciofi,carciofi,222
845,funghi sott'olio,funghi sott'olio,funghi sott'olio,,funghi,funghi,48
846,800 gr di piselli,800 gr di piselli,piselli,800 gr,piselli,piselli,302
847,30 gr di pancetta,30 gr di pancetta,pancetta,30 gr,pancetta,pancetta,245
848,1 spicchio d'aglio affettato,1 spicchio d'aglio affettato,aglio affettato,1 spicchio,aglio,aglio,2572
849,1/2 bicchiere di aceto bianco,1/2 bicchiere di aceto bianco,aceto bianco,1/2 bicchiere,aceto bianco,aceto,528
850,olio,olio,olio,,olio,olio,2191
851,400 gr di alici,400 gr di alici,alici,400 gr,alici,alici,44
852,4 fette di pane raffermo,4 fette di pane raffermo,pane raffermo,4 fette,pane raffermo,pane raffermo,106
853,montasio stagionato,montasio stagionato,montasio stagionato,,montasio,montasio,25
854,2 limoni,2 limoni,limoni,2,limoni,limone,1394
855,1/2 kg di fagioli borlotti secchi,1/2 kg di fagioli borlotti secchi,fagioli borlotti secchi,1/2 kg,fagioli borlotti secchi,fagioli borlotti,47
856,1 kg di scarola,1 kg di scarola,scarola,1 kg,scarola,scarola,44
857,5 pomodori,5 pomodori,pomodori,5,pomodori,pomodori,634
858,sale ed olio,sale,sale,,sale,sale,9693
859,250 g di patate,250 g di patate,patate,250 g,patate,patate,1000
860,50 g di zucchero semolato,50 g di zucchero semolato,zucchero semolato,50 g,zucchero semolato,zucchero,4949
861,100 ml di panna fresca,100 ml di panna fresca,panna fresca,100 ml,panna fresca,panna fresca,1860
862,1 cucchiaino di farina 00,1 cucchiaino di farina 00,farina,1 cucchiaino,farina,farina,2121
