,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
3230,2 cucchiai di Marsala,2 cucchiai di marsala,marsala,2 cucchiai,marsala,marsala,marsala,121,,,,,
3231,600 g di patate rosse,600 g di patate rosse,patate rosse,600 g,patate rosse,patate rosse,patate,1000,,,,,
3232,1 melanzana media,1 melanzana media,melanzana,1,melanzana,melanzana,melanzane,295,,,,,
3233,"100 g circa di farina ""00""","100 g circa di farina ""00""",farina 00,100 g,farina 00,farina 00,farina 00,1803,,,,,
3234,8 pomodorini datterini,8 pomodorini datterini,pomodorini datterini,8,pomodorini datterini,pomodorini datterini,pomodorini datterini,128,,,,,
3235,Parmigiano Reggiano,parmigiano reggiano,parmigiano reggiano,,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
3236,500 g di farina “0”,500 g di farina “0,farina 0,500 g,farina 0,farina 0,farina 0,181,,,,,
3237,5 g di lievito di birra secco,5 g di lievito di birra secco,lievito di birra secco,5 g,lievito di birra secco,lievito di birra secco,lievito di birra,364,,,,,
3238,15 ml di olio extravergine d’oliva,15 ml di olio extravergine d'oliva,olio extravergine d' oliva,15 ml,olio extravergine d'oliva,olio extravergine d'oliva,olio extravergine d'oliva,4337,,,,,
3239,400 g di linguine,400 g di linguine,linguine,400 g,linguine,linguine,linguine,56,,,,,
3240,300 g di filetto di salmone norvegese fresco senza pelle,300 g di filetto di salmone norvegese fresco,filetto di salmone norvegese,300 g,filetto di salmone norvegese,filetto di baccalà,salmone,173,,,,,
3241,70 g di pomodori secchi sott’olio scolati,70 g di pomodori secchi sott'olio scolati,pomodori secchi sott'olio,70 g,pomodori secchi sott'olio,pomodori secchi sott'olio,pomodori secchi,141,,,,,
3242,50 g di basilico,50 g di basilico,basilico,50 g,basilico,basilico,basilico,944,,,,,
3243,320 g di maccheroncini,320 g di maccheroncini,maccheroncini,320 g,maccheroncini,maccheroncini,maccheroncini,16,,,,,
3244,3 würstel,3 würstel,würstel,3,würstel,würstel,wurstel,25,,,,,
3245,200 ml panna fresca,200 ml panna fresca,panna fresca,200 ml,panna fresca,panna fresca,panna fresca,1860,,,,,
3246,1 tuorlo a temperatura ambiente,1 tuorlo,tuorlo,1,tuorlo,tuorlo,tuorli,1385,,,,,
3247,formaggio grana grattugiato,formaggio grana grattugiato,formaggio grana,,formaggio grana,formaggio grana,grana padano dop,591,,,,,
3248,Nutella,nutella,nutella,,nutella,nutella,nutella,136,,,,,
3249,3 dischi di pasta sfoglia,3 dischi di pasta sfoglia,pasta sfoglia,3 dischi,pasta sfoglia,pasta sfoglia,pasta sfoglia,239,,,,,
3250,500 g crema pasticcera,500 g crema pasticcera,crema pasticcera,500 g,crema pasticcera,crema pasticcera,crema pasticcera,65,,,,,
3251,250 g panna fresca,250 g panna fresca,panna fresca,250 g,panna fresca,panna fresca,panna fresca,1860,,,,,
3252,pan di spagna,pan di spagna,pan di spagna,,pan di spagna,pan di spagna,pan di spagna,30,,,,,
3253,300 g di mirtilli,300 g di mirtilli,mirtilli,300 g,mirtilli,mirtilli,mirtilli,144,,,,,
3254,300 g di farina 0,300 g di farina 0,farina 0,300 g,farina 0,farina 0,farina 0,181,,,,,
3255,170 g di acqua,170 g di acqua,acqua,170 g,acqua,acqua,acqua,1976,,,,,
3256,15 ml di olio extravergine di oliva,15 ml di olio extravergine di oliva,olio extravergine di oliva,15 ml,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
3257,8 g di lievito in polvere per torte salate,8 g di lievito,lievito,8 g,lievito,lievito,lievito,994,,,,,
3258,200 g di scarola già pulita,200 g di scarola,scarola,200 g,scarola,scarola,scarola,44,,,,,
3259,250 g di mozzarella senza lattosio,250 g di mozzarella,mozzarella,250 g,mozzarella,mozzarella,mozzarella,264,,,,,
3260,2 acciughe dissalate,2 acciughe dissalate,acciughe dissalate,2,acciughe dissalate,acciughe,acciughe,403,,,,,
3261,750 g di ziti,750 g di ziti,ziti,750 g,ziti,ziti,ziti,11,,,,,
3262,200 g di parmigiano grattugiato,200 g di parmigiano grattugiato,parmigiano,200 g,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
3263,due panetti di scamorza bianca,due panetti di scamorza bianca,scamorza bianca,due panetti,scamorza bianca,scamorza bianca,scamorza,97,,,,,
3264,250 g di trita di manzo,250 g di trita di manzo,trita di manzo,250 g,trita di manzo,trita di manzo,macinato di bovino,51,,,,,
3265,pomodori ciliegino per decorare,pomodori ciliegino,pomodori ciliegino,,pomodori ciliegino,pomodori ciliegino,pomodorini ciliegino,288,,,,,
3266,"salsa di pomodoro (fatta con 1kg di passata di pomodori ciliegino,  cipolla,  sale,  olio extravergine)",salsa di pomodoro,salsa di pomodoro,,salsa di pomodoro,salsa di pomodoro,salsa di pomodoro,90,,,,,
3267,1 cucchiaino e 1/4 di bicarbonato,1 cucchiaino e 1/4 di bicarbonato,bicarbonato,1 cucchiaino e 1/4,bicarbonato,bicarbonato,bicarbonato,142,,,,,
3268,125 g di formaggio fresco,125 g di formaggio fresco,formaggio fresco,125 g,formaggio fresco,formaggio fresco,formaggio fresco,38,,,,,
3269,salmone affumicato,salmone affumicato,salmone affumicato,,salmone affumicato,salmone affumicato,salmone affumicato,121,,,,,
3270,panna acida,panna acida,panna acida,,panna acida,panna acida,panna acida,57,,,,,
3271,2 kg di pomodori da conserva maturi,2 kg di pomodori da conserva maturi,pomodori da conserva,2 kg,pomodori da conserva,pomodori,pomodori,634,,,,,
3272,3 ciuffi di basilico,3 ciuffi di basilico,basilico,3 ciuffi,basilico,basilico,basilico,944,,,,,
3273,200 g di spaghetti spezzati,200 g di spaghetti spezzati,spaghetti,200 g,spaghetti,spaghetti,spaghetti,201,,,,,
3274,4 pomodori pelati,4 pomodori pelati,pomodori pelati,4,pomodori pelati,pomodori pelati,pomodori pelati,196,,,,,
3275,6-7 rami di tenerumi,6-7 rami di tenerumi,rami di tenerumi,6 - 7,tenerumi,tenerumi,tenerumi,1,,,,,
3276,mezza zucchina lunga,mezza zucchina lunga,zucchina,mezza,zucchina,zucchina,zucchine,654,,,,,
3277,1 carota media,1 carota media,carota,1,carota,carota,carote,1077,,,,,
3278,1 cipolla gialla media (o 2 piccole),1 cipolla gialla media,cipolla gialla,1,cipolla gialla,cipolla gialla,cipolla dorata,142,,,,,
3279,150 g di piselli (al netto degli scarti),150 g di piselli,piselli,150 g,piselli,piselli,piselli,302,,,,,
3280,200 g di spinaci già puliti (se non sono di stagione cavolo nero),200 g di spinaci,spinaci,200 g,spinaci,spinaci,spinaci,245,,,,,
3281,600 g di acqua,600 g di acqua,acqua,600 g,acqua,acqua,acqua,1976,,,,,
3282,1200 g di coda di pescatrice nella parte centrale,1200 g di coda di pescatrice nella parte centrale,coda di pescatrice nella centrale,1200 g,coda di pescatrice,coda di bue,coda di rospo,28,,,,,
3283,100 g di prosciutto crudo toscano,100 g di prosciutto crudo toscano,prosciutto crudo toscano,100 g,prosciutto crudo toscano,prosciutto,prosciutto crudo,182,,,,,
3284,8 scalogni piccoli,8 scalogni piccoli,scalogni,8,scalogni,scalogni,scalogno,620,,,,,
3285,250 g di burro freddo,250 g di burro freddo,burro,250 g,burro,burro,burro,4606,,,,,
3286,130 g di farina fioretto di mais,130 g di farina fioretto di mais,farina fioretto di mais,130 g,farina fioretto di mais,farina,farina di mais,144,,,,,
3287,110 g di zucchero semolato,110 g di zucchero semolato,zucchero semolato,110 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
3288,la scorza di 1 limone grattugiata,la scorza di 1 limone grattugiata,limone,1,limone,limone,limone,1394,,,,,
3289,1 kg di asparagi,1 kg di asparagi,asparagi,1 kg,asparagi,asparagi,asparagi,192,,,,,
3290,300 g di pane raffermo tagliato a fette,300 g di pane raffermo tagliato,pane raffermo,300 g,pane raffermo,pane raffermo,pane raffermo,106,,,,,
3291,8 pomodori a grappolo,8 pomodori,pomodori,8,pomodori,pomodori,pomodori,634,,,,,
3292,6 filetti di alici,6 filetti di alici,filetti di alici,6,filetti di alici,filetti di alici,acciughe,403,,,,,
3293,1 cipollotto di tropea,1 cipollotto di tropea,cipollotto di tropea,1,cipollotto di tropea,cipollotto di tropea,cipolla di tropea,103,,,,,
3294,6 cucchiai di olio extra vergine d'oliva,6 cucchiai di olio extra vergine d'oliva,olio extra vergine d' oliva,6 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,olio extravergine d'oliva,4337,,,,,
3295,6 patate viola,6 patate viola,patate viola,6,patate viola,patate viola,patate viola,10,,,,,
3296,80 g di yogurt greco,80 g di yogurt greco,yogurt greco,80 g,yogurt greco,yogurt greco,yogurt greco,196,,,,,
3297,noce di burro,noce di burro,burro,,burro,burro,burro,4606,,,,,
3298,aglio in polvere qb,aglio,aglio,,aglio,aglio,aglio,2572,,,,,
3299,erba cipollina qb,erba cipollina qb,erba cipollina,qb,erba cipollina,erba cipollina,erba cipollina,367,,,,,
3300,1 kg e 600 g di arista di maiale,1 kg e 600 g di arista di maiale,arista di maiale,1 kg e 600 g,arista di maiale,arista,arista,13,,,,,
3301,230 g di albicocche secche,230 g di albicocche secche,albicocche secche,230 g,albicocche secche,albicocche secche,albicocche secche,26,,,,,
3302,3 dl di grappa,3 dl di grappa,grappa,3 dl,grappa,grappa,grappa,56,,,,,
3303,5 cucchiai di aceto bianco,5 cucchiai di aceto bianco,aceto bianco,5 cucchiai,aceto bianco,aceto bianco,aceto,528,,,,,
3304,1 bottiglia di vino bianco secco,1 bottiglia di vino bianco secco,vino bianco secco,1 bottiglia,vino bianco secco,vino bianco secco,vino bianco,1177,,,,,
3305,30 grani di pepe nero,30 grani di pepe nero,grani di pepe nero,30,grani di pepe nero,grani di pepe nero,pepe,5844,,,,,
3306,800 g di baccalà già bagnato,800 g di baccalà,baccalà,800 g,baccalà,baccalà,baccalà,94,,,,,
3307,2 radici di sedano rapa,2 radici di sedano rapa,di sedano rapa,2 radici,sedano rapa,sedano rapa,sedano rapa,25,,,,,
3308,1-2 cucchiai di prezzemolo tritato,1-2 cucchiai di prezzemolo tritato,prezzemolo,1 - 2 cucchiai,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
3309,60 g d’olio,60 g d'olio,d' olio,60 g,olio,olio,olio,2191,,,,,
3310,20 pomodori datterini,20 pomodori datterini,pomodori datterini,20,pomodori datterini,pomodori datterini,pomodorini datterini,128,,,,,
3311,125 g di ricotta vaccina,125 g di ricotta vaccina,ricotta vaccina,125 g,ricotta vaccina,ricotta vaccina,ricotta vaccina,258,,,,,
3312,"erbe aromatiche (basilico,  timo,  menta)",erbe aromatiche,erbe aromatiche,,erbe aromatiche,erbe aromatiche,erbe aromatiche,70,,,,,
3313,450 g di pasta brisée,450 g di pasta brisée,pasta brisée,450 g,pasta brisée,pasta brisée,pasta brisè,60,,,,,
3314,250 g di prosciutto crudo,250 g di prosciutto crudo,prosciutto crudo,250 g,prosciutto crudo,prosciutto crudo,prosciutto crudo,182,,,,,
3315,250 dl di panna fresca,250 dl di panna fresca,panna fresca,250 dl,panna fresca,panna fresca,panna fresca,1860,,,,,
3316,2 patate lesse di media grandezza,2 patate lesse di media grandezza,patate di,2,patate,patate,patate,1000,,,,,
3317,120 g di acqua,120 g di acqua,acqua,120 g,acqua,acqua,acqua,1976,,,,,
3318,75 g di farina 00,75 g di farina 00,farina,75 g,farina,farina,farina,2121,,,,,
3319,125 ml di latte intero,125 ml di latte intero,latte intero,125 ml,latte,latte,latte,2242,,,,,
3320,scorza di limone grattugiata,scorza di limone grattugiata,scorza di limone,,limone,limone,limone,1394,,,,,
3321,1 cosciotto da 1 kg di agnello da latte a pezzi,1 cosciotto da 1 kg di agnello da latte,cosciotto,1,,,,,,,,,
3322,mezzo bicchiere di aceto di vino bianco,mezzo bicchiere di aceto di vino bianco,aceto di vino bianco,mezzo bicchiere,aceto di vino bianco,aceto di vino bianco,aceto,528,,,,,
3323,3 cucchiai di olio,3 cucchiai di olio,olio,3 cucchiai,olio,olio,olio,2191,,,,,
3324,200 g di carote grattugiate,200 g di carote grattugiate,carote grattugiate,200 g,carote grattugiate,carote,carote,1077,,,,,
3325,2 cucchiai di buccia grattugiata di limone,2 cucchiai di buccia grattugiata di limone,limone,2 cucchiai,limone,limone,limone,1394,,,,,
3326,1 cucchiaino di lievito,1 cucchiaino di lievito,lievito,1 cucchiaino,lievito,lievito,lievito,994,,,,,
3327,500 g di baccalà ammollato,500 g di baccalà ammollato,baccalà ammollato,500 g,baccalà ammollato,baccalà ammollato,baccalà,94,,,,,
3328,3 acciughe sottosale,3 acciughe sottosale,acciughe sottosale,3,acciughe sotto sale,acciughe sotto sale,acciughe,403,,,,,
3329,4 cucchiai di farina,4 cucchiai di farina,farina,4 cucchiai,farina,farina,farina,2121,,,,,
3330,2 cipolle medie,2 cipolle medie,cipolle,2,cipolle,cipolle,cipolla,1415,,,,,
3331,4 cucchiai di prezzemolo tritato,4 cucchiai di prezzemolo tritato,prezzemolo,4 cucchiai,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
3332,100 g d'olio,100 g d'olio,d' olio,100 g,olio,olio,olio,2191,,,,,
3333,150 g di mandorle spellate,150 g di mandorle spellate,mandorle spellate,150 g,mandorle spellate,mandorle spellate,mandorle pelate,146,,,,,
3334,cioccolato fondente qb,cioccolato fondente qb,cioccolato fondente,qb,cioccolato fondente,cioccolato fondente,cioccolato fondente,833,,,,,
3335,320 g di bucatini,320 g di bucatini,bucatini,320 g,bucatini,bucatini,bucatini,26,,,,,
3336,5 acciughe sotto sale,5 acciughe sotto sale,acciughe sotto sale,5,acciughe sotto sale,acciughe sotto sale,acciughe,403,,,,,
3337,150 g di olive nere,150 g di olive nere,olive nere,150 g,olive nere,olive nere,olive nere,244,,,,,
3338,100 g di pangrattato,100 g di pangrattato,pangrattato,100 g,pangrattato,pangrattato,pangrattato,834,,,,,
3339,400 gr di prosciutto cotto in due fette,400 gr di prosciutto cotto,prosciutto cotto,400 gr,prosciutto cotto,prosciutto cotto,prosciutto cotto,324,,,,,
3340,150 gr di petto di pollo,150 gr di petto di pollo,petto di pollo,150 gr,petto di pollo,petto di pollo,carne di pollo,350,,,,,
3341,100 gr di salsiccia,100 gr di salsiccia,salsiccia,100 gr,salsiccia,salsiccia,salsiccia,225,,,,,
3342,50 gr di pistacchi,50 gr di pistacchi,pistacchi,50 gr,pistacchi,pistacchi,pistacchi,193,,,,,
3343,20 castagne lessate,20 castagne lessate,castagne,20,castagne,castagne,castagne,56,,,,,
3344,1 tartufo nero piccolo,1 tartufo nero piccolo,tartufo nero,1,tartufo nero,tartufo nero,tartufo nero,44,,,,,
3345,50 gr di panna,50 gr di panna,panna,50 gr,panna,panna,panna fresca,1860,,,,,
3346,2 gambi di sedano,2 gambi di sedano,sedano,2,sedano,sedano,sedano,796,,,,,
3347,Péer la salsa:,péer la salsa:,salsa :,péer,salsa,salsa di soia,salsa,18,,,,,
3348,200 gr di panna,200 gr di panna,panna,200 gr,panna,panna,panna fresca,1860,,,,,
3349,3/4 di marsala,3/4 di marsala,3/4 di marsala,,marsala,marsala,marsala,121,,,,,
3350,8 capesante,8 capesante,capesante,8,capesante,capesante,capesante,50,,,,,
3351,100 g di fave fresche sgusciate,100 g di fave fresche sgusciate,fave,100 g,fave,fave,fave,103,,,,,
3352,400 g di tonno fresco a fettine sottili,400 g di tonno fresco,tonno,400 g,tonno,tonno,tonno,101,,,,,
3353,1 cucchiaio di succo di lime,1 cucchiaio di succo di lime,succo di lime,1 cucchiaio,succo di lime,succo di lime,succo di lime,83,,,,,
3354,150 g di olive nere snocciolate,150 g di olive nere snocciolate,olive nere snocciolate,150 g,olive nere snocciolate,olive nere snocciolate,olive nere,244,,,,,
3355,2 filetti di acciughe,2 filetti di acciughe,filetti di acciughe,2,filetti di acciughe,filetti di acciughe,acciughe,403,,,,,
3356,2 cucchiai di capperi,2 cucchiai di capperi,capperi,2 cucchiai,capperi,capperi,capperi,366,,,,,
3357,2 cuori di finocchi,2 cuori di finocchi,finocchi,2,finocchi,finocchi,finocchi,98,,,,,
3358,5 fili di erba cipollina,5 fili di erba cipollina,di erba cipollina,5 fili,erba cipollina,erba cipollina,erba cipollina,367,,,,,
3359,300 g di cavatelli,300 g di cavatelli,cavatelli,300 g,cavatelli,cavatelli,cavatelli,6,,,,,
3360,100 g di pecorino toscano,100 g di pecorino toscano,pecorino toscano,100 g,pecorino toscano,pecorino toscano,pecorino,519,,,,,
3361,2 peperoni,2 peperoni,peperoni,2,peperoni,peperoni,peperoni,612,,,,,
3362,130 g di noci,130 g di noci,noci,130 g,noci,noci,noci,222,,,,,
3363,1 kg e mezzo di cardi,1 kg e mezzo di cardi,cardi,1 kg e mezzo,cardi,cardi,cardi,19,,,,,
3364,3 patate,3 patate,patate,3,patate,patate,patate,1000,,,,,
3365,olio exravergine di oliva,olio exravergine di oliva,olio oliva,exravergine,olio,olio,olio,2191,,,,,
3366,300 g di pane di segale raffermo,300 g di pane di segale raffermo,pane di segale raffermo,300 g,pane di segale raffermo,pane,pane,363,,,,,
3367,farina di segale,farina di segale,farina di segale,,farina di segale,farina di segale,farina di segale,11,,,,,
3368,500 g di funghi,500 g di funghi,funghi,500 g,funghi,funghi,funghi,48,,,,,
3369,150 g di speck in una sola fetta,150 g di speck,speck,150 g,speck,speck,speck,139,,,,,
3370,2 cucchiai di pinoli tostati,2 cucchiai di pinoli tostati,pinoli tostati,2 cucchiai,pinoli tostati,pinoli tostati,pinoli,392,,,,,
3371,200 g di semola di grano,200 g di semola di grano,semola di grano,200 g,semola di grano,semola,semola,144,,,,,
3372,150 g di pasta di salame,150 g di pasta di salame,pasta di salame,150 g,pasta di salame,pasta,pasta di salame,5,,,,,
3373,100 g di carne arrosto,100 g di carne arrosto,carne,100 g,carne,carne,carne,44,,,,,
3374,60 g circa di pangrattato,60 g circa di pangrattato,pangrattato,60 g,pangrattato,pangrattato,pangrattato,834,,,,,
3375,5-6 amaretti,5-6 amaretti,amaretti,5 - 6,amaretti,amaretti,amaretti,104,,,,,
3376,10 g di uvetta,10 g di uvetta,uvetta,10 g,uvetta,uvetta,uvetta,220,,,,,
3377,1/2 pera spadona o abate,1/2 pera spadona o abate,pera,1/2,pera,pera,pere,111,,,,,
3378,1 ciuffo di prezzemolo tritato,1 ciuffo di prezzemolo tritato,prezzemolo,1 ciuffo,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
3379,40 g di grana grattugiato,40 g di grana grattugiato,grana,40 g,grana,grana,grana padano dop,591,,,,,
3380,1-2 uova,1-2 uova,uova,1 - 2,uova,uova,uova,3872,,,,,
3381,100 g di pancetta,100 g di pancetta,pancetta,100 g,pancetta,pancetta,pancetta,245,,,,,
3382,400 g di Chicche di patate,400 g di chicche di patate,chicche di patate,400 g,chicche di patate,chicche di patate,chicche di patate,1,,,,,
3383,200 g di gorgonzola dolce,200 g di gorgonzola dolce,gorgonzola dolce,200 g,gorgonzola dolce,gorgonzola dolce,gorgonzola dolce,18,,,,,
3384,uva bianca,uva bianca,uva bianca,,uva bianca,uva bianca,uva bianca,21,,,,,
3385,500 g di farina gialla finissima,500 g di farina gialla finissima,farina gialla,500 g,farina gialla,farina gialla,farina gialla,68,,,,,
3386,50 g di farina bianca,50 g di farina bianca,farina bianca,50 g,farina bianca,farina bianca,farina 00,1803,,,,,
3387,120 ml di panna fresca,120 ml di panna fresca,panna fresca,120 ml,panna fresca,panna fresca,panna fresca,1860,,,,,
3388,30 ml di latte,30 ml di latte,latte,30 ml,latte,latte,latte,2242,,,,,
3389,3 cucchiai di farina integrale,3 cucchiai di farina integrale,farina integrale,3 cucchiai,farina integrale,farina integrale,farina integrale,108,,,,,
3390,2 cm di zenzero fresco,2 cm di zenzero fresco,zenzero,2 cm,zenzero,zenzero,zenzero,285,,,,,
3391,semi di anice,semi di anice,semi di anice,,semi di anice,semi di anice,semi,107,,,,,
3392,20 g di miele,20 g di miele,miele,20 g,miele,miele,miele,335,,,,,
3393,75 g di latte,75 g di latte,latte,75 g,latte,latte,latte,2242,,,,,
3394,65 g di fragole,65 g di fragole,fragole,65 g,fragole,fragole,fragole,249,,,,,
3395,50 g di panna,50 g di panna,panna,50 g,panna,panna,panna fresca,1860,,,,,
3396,45 g di zucchero,45 g di zucchero,zucchero,45 g,zucchero,zucchero,zucchero,4949,,,,,
3397,fragoline di bosco,fragoline di bosco,fragoline di bosco,,fragoline di bosco,fragoline di bosco,fragoline di bosco,31,,,,,
3398,500 g di pesche noci,500 g di pesche noci,pesche noci,500 g,pesche noci,pesche noci,pesche noci,21,,,,,
3399,230 g di farina,230 g di farina,farina,230 g,farina,farina,farina,2121,,,,,
3400,200 g di farina di riso integrale,200 g di farina di riso integrale,farina di riso integrale,200 g,farina di riso integrale,farina di riso integrale,farina di riso,103,,,,,
3401,12 g di lievito in polvere,12 g di lievito,lievito,12 g,lievito,lievito,lievito,994,,,,,
3402,60 g di olio di semi di girasole,60 g di olio di semi di girasole,olio di semi di girasole,60 g,olio di semi di girasole,olio di semi di girasole,olio di girasole,132,,,,,
3403,2 dl di latte di riso,2 dl di latte di riso,latte di riso,2 dl,latte di riso,latte di riso,latte di riso,14,,,,,
3404,1/2 cucchiaino di cannella in polvere,1/2 cucchiaino di cannella,cannella,1/2 cucchiaino,cannella,cannella,cannella,499,,,,,
3405,500 g di fagioli freschi già sgranati,500 g di fagioli freschi,fagioli,500 g,fagioli,fagioli,fagioli,87,,,,,
3406,1/2 carota,1/2 carota,carota,1/2,carota,carota,carote,1077,,,,,
3407,400 g di cozze (intere),400 g di cozze,cozze,400 g,cozze,cozze,cozze,115,,,,,
3408,2-3 fettine di limone,2-3 fettine di limone,limone,2 - 3 fettine,limone,limone,limone,1394,,,,,
3409,1 cavolfiore grande,1 cavolfiore grande,cavolfiore,1,cavolfiore,cavolfiore,cavolfiore,101,,,,,
3410,100 g di mandorle pestate,100 g di mandorle pestate,mandorle pestate,100 g,mandorle pestate,mandorle,mandorle,415,,,,,
3411,2 litri di brodo vegetale,2 litri di brodo vegetale,brodo vegetale,2 litri,brodo vegetale,brodo vegetale,brodo vegetale,571,,,,,
3412,300 ml di latte,300 ml di latte,latte,300 ml,latte,latte,latte,2242,,,,,
3413,1 cipolla bianca piccola,1 cipolla bianca piccola,cipolla bianca,1,cipolla bianca,cipolla bianca,cipolla bianca,310,,,,,
3414,Grana Padano,grana padano,grana padano,,grana padano,grana padano,grana padano dop,591,,,,,
3415,pepe verde,pepe verde,pepe verde,,pepe verde,pepe verde,pepe,5844,,,,,
3416,2 cosciotti di agnello,2 cosciotti di agnello,cosciotti di agnello,2,cosciotti di agnello,cosciotti di agnello,carne di agnello,57,,,,,
3417,200 g di pancetta,200 g di pancetta,pancetta,200 g,pancetta,pancetta,pancetta,245,,,,,
3418,700 g di cipolline,700 g di cipolline,cipolline,700 g,cipolline,cipolline,cipolle borettane,103,,,,,
3419,300 g di olive verdi denocciolate,300 g di olive verdi denocciolate,olive verdi,300 g,olive verdi,olive verdi,olive verdi,119,,,,,
3420,2 bicchieri di vino bianco secco,2 bicchieri di vino bianco secco,vino bianco secco,2 bicchieri,vino bianco secco,vino bianco secco,vino bianco,1177,,,,,
3421,1 cucchiaino di pepe in grani,1 cucchiaino di pepe,pepe,1 cucchiaino,pepe,pepe,pepe,5844,,,,,
3422,150 g d’olio,150 g d'olio,d' olio,150 g,olio,olio,olio,2191,,,,,
3423,8 zucchine medie,8 zucchine medie,zucchine,8,zucchine,zucchine,zucchine,654,,,,,
3424,120 g di gocce di cioccolato,120 g di gocce di cioccolato,gocce di cioccolato,120 g,cioccolato,cioccolato,cioccolato,105,,,,,
3425,40 g di cacao dolce in polvere,40 g di cacao dolce,cacao dolce,40 g,cacao dolce,cacao dolce,cacao dolce,14,,,,,
3426,60 g di farina di segale,60 g di farina di segale,farina di segale,60 g,farina di segale,farina di segale,farina di segale,11,,,,,
3427,6 carote,6 carote,carote,6,carote,carote,carote,1077,,,,,
3428,150 g di squacquerone,150 g di squacquerone,squacquerone,150 g,squacquerone,squacquerone,squacquerone,5,,,,,
3429,1 mazzetto di rucola,1 mazzetto di rucola,rucola,1 mazzetto,rucola,rucola,rucola,133,,,,,
3430,40 g di pinoli,40 g di pinoli,pinoli,40 g,pinoli,pinoli,pinoli,392,,,,,
3431,40 g di parmigiano,40 g di parmigiano,parmigiano,40 g,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
3432,400 g di farfalle,400 g di farfalle,farfalle,400 g,farfalle,farfalle,farfalle,35,,,,,
3433,6 pomodorini ciliegino,6 pomodorini ciliegino,pomodorini ciliegino,6,pomodorini ciliegino,pomodorini ciliegino,pomodorini ciliegino,288,,,,,
3434,120 g di salmone affumicato,120 g di salmone affumicato,salmone affumicato,120 g,salmone affumicato,salmone affumicato,salmone affumicato,121,,,,,
3435,4 finocchi di grandezza media,4 finocchi di grandezza media,finocchi,4,finocchi,finocchi,finocchi,98,,,,,
3436,1/2 l di brodo vegetale,1/2 l di brodo vegetale,brodo vegetale,1/2 l,brodo vegetale,brodo vegetale,brodo vegetale,571,,,,,
3437,4 cucchiai di maionese,4 cucchiai di maionese,maionese,4 cucchiai,maionese,maionese,maionese,139,,,,,
3438,4 cucchiai di succo d’arancia,4 cucchiai di succo d'arancia,succo d' arancia,4 cucchiai,succo d'arancia,succo d'arancia,succo d'arancia,135,,,,,
3439,ketchup,ketchup,ketchup,,ketchup,ketchup,ketchup,38,,,,,
3440,1 confezione di pasta sfoglia di circa 300 g,1 confezione di pasta sfoglia,pasta sfoglia,1 confezione,pasta sfoglia,pasta sfoglia,pasta sfoglia,239,,,,,
3441,1 cipolla grande,1 cipolla grande,cipolla,1,cipolla,cipolla,cipolla,1415,,,,,
3442,100 g di prosciutto cotto affumicato,100 g di prosciutto cotto affumicato,prosciutto cotto affumicato,100 g,prosciutto cotto affumicato,prosciutto,prosciutto cotto,324,,,,,
3443,300 g di farina di mais,300 g di farina di mais,farina di mais,300 g,farina di mais,farina di mais,farina di mais,144,,,,,
3444,1 kg e 500 g di broccoletti,1 kg e 500 g di broccoletti,broccoletti,1 kg e 500 g,broccoletti,broccoletti,broccoli,95,,,,,
3445,4 filetti di branzino senza pelle,4 filetti di branzino,filetti di branzino,4,filetti di branzino,filetti di branzino,branzino,39,,,,,
3446,4 fette di pane in cassetta ai cereali,4 fette di pane,pane,4 fette,pane,pane,pane,363,,,,,
3447,20 g di pistacchi sgusciati,20 g di pistacchi sgusciati,pistacchi,20 g,pistacchi,pistacchi,pistacchi,193,,,,,
3448,qualche rametto di timo,qualche rametto di timo,timo,qualche rametto,timo,timo,timo,874,,,,,
3449,400 g di pomodori datterini,400 g di pomodori datterini,pomodori datterini,400 g,pomodori datterini,pomodori datterini,pomodorini datterini,128,,,,,
3450,380 g di farina,380 g di farina,farina,380 g,farina,farina,farina,2121,,,,,
3451,15 cl di panna,15 cl di panna,panna,15 cl,panna,panna,panna fresca,1860,,,,,
3452,1 cucchiaino e mezzo di lievito vanigliato in polvere,1 cucchiaino e mezzo di lievito vanigliato,lievito vanigliato,1 cucchiaino e mezzo,lievito vanigliato,lievito vanigliato,lievito vanigliato,67,,,,,
3453,marmellata di fragole e mascarpone per servire,marmellata di fragole e mascarpone,marmellata di fragole,,marmellata di fragole,marmellata di fragole,marmellata di fragole,12,,,,,
3454,1 kg di teste e lische di vari tipi di pesce,1 kg di teste e lische di vari tipi di pesce,teste,1 kg,,,,,,,,,
3455,1 kg di patate farinose,1 kg di patate farinose,patate,1 kg,patate,patate,patate,1000,,,,,
3456,200 g circa di farina,200 g circa di farina,farina,200 g,farina,farina,farina,2121,,,,,
